Time:250Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Event Id,Event Date,Event Duration
0,0,197506.2813,190677.7031,198680.7969,183611.2813,186272.7031,164807.625,171083.0938,26077.00195,0,0,0
0.004,0,197511.25,190665.2813,198691.5313,183593.1563,186286.5156,164815.2813,171093.1406,26073.67773,,,
0.008,0,197495.125,190632.6094,198688.3906,183582.5313,186290.2813,164816.6094,171095.4531,26068.82227,,,
0.012,0,197481.375,190625.125,198676.4844,183568.0156,186281.125,164809,171083.4063,26069.6543,,,
0.016,0,197494.1563,190652.8438,198680.5781,183578.625,186281.2656,164808.4063,171081.1094,26083.92383,,,
0.02,0,197509.5781,190673.8906,198689.4844,183589.6719,186285,164808.7031,171085.1563,26086.87305,,,
0.024,0,197523.9063,190675.7969,198706.3281,183615.2031,186302.1406,164819.0781,171099.4219,26088.24219,,,
0.028,0,197513.7969,190654.0938,198705.9844,183605.3125,186305.8906,164818.2188,171097.5781,26080.70508,,,
0.032,0,197498.125,190637.7969,198694.5781,183584.8438,186294.8438,164804.9688,171087.9688,26074.75,,,
0.036,0,197488.8438,190646.8281,198676.4531,183569.5469,186271.1563,164790.8125,171067.9688,26067.58789,,,
0.04,0,197509.75,190674.6719,198691.1563,183586.7969,186282.8438,164803.9063,171081.0781,26080.38281,,,
0.044,0,197521.0156,190674.0469,198707.75,183613,186302.5625,164814.4688,171097.8906,26084.27148,,,
0.048,0,197508,190648.3281,198707.7031,183607.9063,186308.4063,164813.1094,171103.6406,26079.81836,,,
0.052,0,197487,190635.75,198687.8594,183577.8906,186293.1406,164807.6875,171090.5156,26072.22852,,,
0.056,0,197470.7969,190636,198662.8281,183556.4844,186265.7969,164787.1406,171068.25,26057.28906,,,
0.06,0,197470.7969,190640.7969,198655.9063,183552.8438,186253.4531,164774.7813,171055.8125,26046.1582,,,
0.064,0,197502.2344,190656.4844,198694.0156,183607.6406,186289.8438,164805.0781,171089.9063,26068.76758,,,
0.068,0,197497.75,190639.2188,198698.8438,183622.0625,186295.7031,164809.0469,171099.6406,26067.61523,,,
0.072,0,197474.3125,190621.9375,198673.4688,183572.6406,186272.0938,164798.5313,171078.9375,26057.85156,,,
0.076,0,197457.4375,190620.7813,198646.6875,183539.9063,186240.5,164769.1406,171050.1563,26041.16797,,,
0.08,0,197479.9688,190642.3438,198658.7969,183559.7813,186248.7344,164757.7969,171055.7813,26048.30273,,,
0.084,0,197510.9063,190657.6875,198692.9531,183600.5625,186285.1563,164772.1406,171080.3281,26071.10156,,,
0.088,0,197507.2031,190643.2031,198700.4375,183613.0781,186298.2188,164787.1094,171084.0313,26077.35156,,,
0.092,0,197482.4688,190630.5781,198681.0156,183576.4219,186281.125,164803.6094,171075.7188,26073.70313,,,
0.096,0,197479.1875,190646.2344,198672.3438,183555.3906,186268.4688,164810.125,171072.7656,26077.53906,,,
